Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83522;08/02/1980;0000;;30.9;;6.4;82.75;0.833333;
83522;08/02/1980;1200;23.8;;20;;;;
83522;09/02/1980;0000;;28.6;;2.7;81.75;1.333333;
83522;09/02/1980;1200;1.3;;21.5;;;;
83522;10/02/1980;0000;;27.3;;1.5;86.75;1;
83522;10/02/1980;1200;5.4;;19.9;;;;
83522;11/02/1980;0000;;30;;7.5;73.5;2.6;
83522;11/02/1980;1200;2.7;;21.3;;;;
83522;12/02/1980;0000;;28.2;;3.1;82.75;3.1;
83522;12/02/1980;1200;0;;21.6;;;;
83522;13/02/1980;0000;;23.3;;0;92.75;2.266667;
83522;13/02/1980;1200;31.8;;20;;;;
83522;14/02/1980;0000;;21.4;;0;92.75;3.433333;
83522;14/02/1980;1200;32.5;;18.5;;;;
83522;15/02/1980;0000;;19.6;;0;88.75;3.766667;
83522;15/02/1980;1200;54.7;;16.5;;;;
83522;16/02/1980;0000;;24;;0.3;82.5;2.4;
83522;16/02/1980;1200;7.4;;17.1;;;;
83522;17/02/1980;0000;;21.8;;0;90;2.266667;
83522;17/02/1980;1200;6.2;;17.3;;;;
83522;18/02/1980;0000;;24.8;;0.7;92.75;2.4;
83522;18/02/1980;1200;42.5;;18.3;;;;
83522;19/02/1980;0000;;28.5;;11.3;77.75;2.233333;
83522;19/02/1980;1200;53.5;;18.1;;;;
83522;20/02/1980;0000;;29.5;;11.1;77;1.166667;
83522;20/02/1980;1200;0;;15.3;;;;
83522;21/02/1980;0000;;31;;8.7;74.75;1.033333;
83522;21/02/1980;1200;0;;15.8;;;;
83522;22/02/1980;0000;;27.8;;1.2;84;0.666667;
83522;22/02/1980;1200;0.2;;19.8;;;;
83522;23/02/1980;0000;;30.3;;8;77.5;2.6;
83522;23/02/1980;1200;4.4;;19.1;;;;
83522;24/02/1980;0000;;28.6;;2.8;82.75;1.2;
83522;24/02/1980;1200;0;;19.5;;;;
83522;25/02/1980;0000;;28;;0.8;81.75;1.366667;
83522;25/02/1980;1200;0;;19.2;;;;
83522;26/02/1980;0000;;28.1;;0.9;77.5;1.9;
83522;26/02/1980;1200;16.2;;19;;;;
83522;27/02/1980;0000;;28;;0.2;90.25;1.166667;
83522;27/02/1980;1200;6.5;;20;;;;
83522;28/02/1980;0000;;29;;5.7;79;1.733333;
83522;28/02/1980;1200;2.7;;19.3;;;;
83522;29/02/1980;0000;;30;;8.4;76.75;1.366667;
83522;29/02/1980;1200;0;;19;;;;
83522;01/03/1980;0000;;28.6;;8.1;73.5;4.6;
83522;01/03/1980;1200;0;;17;;;;
83522;02/03/1980;0000;;29.8;;10.5;74.75;3.8;
83522;02/03/1980;1200;0;;16.9;;;;
83522;03/03/1980;0000;;29.2;;9.3;75.25;2.433333;
83522;03/03/1980;1200;0;;17.4;;;;
83522;04/03/1980;0000;;29.6;;7.7;75.25;1.9;
83522;04/03/1980;1200;0;;18.5;;;;
83522;05/03/1980;0000;;29.5;;8.7;72.5;2.066667;
83522;05/03/1980;1200;0;;18.5;;;;
83522;06/03/1980;0000;;29.4;;10.5;70;2.266667;
83522;06/03/1980;1200;0;;17.2;;;;
83522;07/03/1980;0000;;29.6;;9.4;70.75;1.9;
83522;07/03/1980;1200;0;;15.7;;;;
83522;08/03/1980;0000;;30;;8.6;64.75;0.666667;
83522;08/03/1980;1200;0;;16;;;;
83522;09/03/1980;0000;;31.8;;10.2;71;1.033333;
83522;09/03/1980;1200;0;;16;;;;
83522;10/03/1980;0000;;31.6;;10.6;63.25;2.066667;
83522;10/03/1980;1200;0;;16.6;;;;
83522;11/03/1980;0000;;31.4;;10.5;67.25;1.533333;
83522;11/03/1980;1200;0;;16.7;;;;
83522;12/03/1980;0000;;32.2;;9.1;66.5;1.566667;
83522;12/03/1980;1200;0;;21.4;;;;
83522;13/03/1980;0000;;30.2;;5.3;77.25;1.566667;
83522;13/03/1980;1200;0;;21;;;;
83522;14/03/1980;0000;;29.8;;4.7;84;1.533333;
83522;14/03/1980;1200;1.3;;19.6;;;;
83522;15/03/1980;0000;;27.6;;0.9;88;2.1;
83522;15/03/1980;1200;5.8;;19;;;;
83522;16/03/1980;0000;;26;;1.7;85.75;1.4;
83522;16/03/1980;1200;6.8;;20;;;;
83522;17/03/1980;0000;;30.1;;9.4;75;1.566667;
83522;17/03/1980;1200;1.1;;17.1;;;;
83522;18/03/1980;0000;;29.8;;6.4;81.75;1.7;
83522;18/03/1980;1200;0;;17.5;;;;
83522;19/03/1980;0000;;29.4;;9;73.75;1.2;
83522;19/03/1980;1200;0;;17.8;;;;
83522;20/03/1980;0000;;30.2;;9.6;65.5;2.266667;
83522;20/03/1980;1200;0;;17.8;;;;
83522;21/03/1980;0000;;29.3;;7.4;71.25;1.733333;
83522;21/03/1980;1200;0;;16.9;;;;
83522;22/03/1980;0000;;30.8;;7.8;61;2.433333;
83522;22/03/1980;1200;0;;15.9;;;;
83522;23/03/1980;0000;;30.8;;9.9;67.5;1.9;
83522;23/03/1980;1200;0;;15.4;;;;
83522;24/03/1980;0000;;30.6;;9.7;67;2.266667;
83522;24/03/1980;1200;0;;16;;;;
83522;25/03/1980;0000;;30.2;;10;60.25;2.4;
83522;25/03/1980;1200;0;;15;;;;
83522;26/03/1980;0000;;31.1;;7.6;57.25;1.366667;
83522;26/03/1980;1200;0;;19.7;;;;
83522;27/03/1980;0000;;31.6;;10.7;66.25;2.233333;
83522;27/03/1980;1200;0;;14;;;;
83522;28/03/1980;0000;;31.9;;8.4;71.25;0.7;
83522;28/03/1980;1200;0;;14.7;;;;
83522;29/03/1980;0000;;31.8;;7.9;70.5;1.533333;
83522;29/03/1980;1200;0;;14.8;;;;
83522;30/03/1980;0000;;30.7;;5.2;71.25;1.333333;
83522;30/03/1980;1200;0;;18;;;;
83522;31/03/1980;0000;;29;;5.3;81;0.866667;
83522;31/03/1980;1200;0;;18.1;;;;
83522;01/04/1980;0000;;29.6;;5.3;82.5;1.733333;
83522;01/04/1980;1200;21.5;;18.5;;;;
83522;02/04/1980;0000;;25.3;;3.3;86.25;2.066667;
83522;02/04/1980;1200;23;;19.2;;;;
83522;03/04/1980;0000;;25.6;;1.3;90.5;2.066667;
83522;03/04/1980;1200;1.5;;19.8;;;;
83522;04/04/1980;0000;;27;;2.2;87;1.033333;
83522;04/04/1980;1200;24;;19;;;;
83522;05/04/1980;0000;;27.2;;5.4;83.25;0.666667;
83522;05/04/1980;1200;4.9;;20;;;;
83522;06/04/1980;0000;;29.1;;8.5;87.5;0.666667;
83522;06/04/1980;1200;11.1;;19;;;;
83522;07/04/1980;0000;;30.1;;8.8;79.25;1.033333;
83522;07/04/1980;1200;0;;16.2;;;;
83522;08/04/1980;0000;;24.6;;1.8;93.5;1.9;
83522;08/04/1980;1200;0;;20.2;;;;
83522;09/04/1980;0000;;29.2;;5.9;79.75;0.5;
83522;09/04/1980;1200;26.1;;19.5;;;;
83522;10/04/1980;0000;;27.2;;6.2;84.75;0.666667;
83522;10/04/1980;1200;16.6;;19.6;;;;
83522;11/04/1980;0000;;28.8;;3.9;83;2.433333;
83522;11/04/1980;1200;1;;19.4;;;;
83522;12/04/1980;0000;;30.8;;7.9;79.5;0.5;
83522;12/04/1980;1200;0;;20.6;;;;
83522;13/04/1980;0000;;30.6;;7.1;78.25;1.9;
83522;13/04/1980;1200;0;;17.5;;;;
83522;14/04/1980;0000;;28;;3.9;85;0.333333;
83522;14/04/1980;1200;0.3;;19.4;;;;
83522;15/04/1980;0000;;25.6;;0;85.5;1.2;
83522;15/04/1980;1200;16.6;;19;;;;
83522;16/04/1980;0000;;23.2;;3.2;91.75;1.9;
83522;16/04/1980;1200;2.9;;19;;;;
83522;17/04/1980;0000;;;;7.8;78.25;1.2;
83522;17/04/1980;1200;0;;19;;;;
83522;18/04/1980;0000;;;;4.6;79.75;2.233333;
83522;18/04/1980;1200;0;;19.6;;;;
83522;19/04/1980;0000;;24.8;;10.7;71.25;1.733333;
83522;19/04/1980;1200;0;;19;;;;
83522;20/04/1980;0000;;;;10.4;54.25;1.033333;
83522;20/04/1980;1200;0;;18.8;;;;
83522;21/04/1980;0000;;;;10.4;77.25;2.266667;
83522;21/04/1980;1200;0;;13.9;;;;
83522;22/04/1980;0000;;;;11.1;74;2.233333;
83522;22/04/1980;1200;0;;16.6;;;;
83522;23/04/1980;0000;;;;10.8;66.75;2.1;
83522;23/04/1980;1200;0;;16.1;;;;
83522;24/04/1980;0000;;;;9.2;63;1.566667;
83522;24/04/1980;1200;0;;14.1;;;;
83522;25/04/1980;0000;;;;9.4;70.75;1.033333;
83522;25/04/1980;1200;0;;13.2;;;;
83522;26/04/1980;0000;;;;10;68.75;1.4;
83522;26/04/1980;1200;0;;14.2;;;;
83522;27/04/1980;0000;;;;9.9;52.5;1.733333;
83522;27/04/1980;1200;0;;14;;;;
83522;28/04/1980;0000;;;;10;74.5;1.566667;
83522;28/04/1980;1200;0;;13.2;;;;
83522;29/04/1980;0000;;;;8.1;72;2.266667;
83522;29/04/1980;1200;0;;13.3;;;;
83522;30/04/1980;0000;;;;9.7;70.75;2.1;
83522;30/04/1980;1200;0;;15.8;;;;
83522;01/05/1980;0000;;;;8.7;74.75;0.666667;
83522;01/05/1980;1200;0;;14.9;;;;
83522;02/05/1980;0000;;;;3;84;0.866667;
83522;02/05/1980;1200;0.5;;19;;;;
83522;03/05/1980;0000;;;;0;90.5;1.733333;
83522;03/05/1980;1200;5.9;;16.4;;;;
83522;04/05/1980;0000;;;;4.7;85.75;0.666667;
83522;04/05/1980;1200;2.7;;15.9;;;;
83522;05/05/1980;0000;;;;9.9;74.25;0.7;
83522;05/05/1980;1200;0;;11.7;;;;
83522;06/05/1980;0000;;;;8.7;82.75;0.5;
83522;06/05/1980;1200;0;;15.8;;;;
83522;07/05/1980;0000;;;;9.7;72;2.066667;
83522;07/05/1980;1200;0;;18;;;;
83522;08/05/1980;0000;;29.4;;8.6;76.25;0.833333;
83522;08/05/1980;1200;0;;13.5;;;;
83522;09/05/1980;0000;;28.8;;9.5;71.25;1.9;
83522;09/05/1980;1200;0;;14;;;;
83522;10/05/1980;0000;;29;;9.5;71.75;1;
83522;10/05/1980;1200;0;;11.3;;;;
83522;11/05/1980;0000;;29;;7.8;63;0.666667;
83522;11/05/1980;1200;0;;16;;;;
83522;12/05/1980;0000;;28.2;;9.9;71.25;1.366667;
83522;12/05/1980;1200;0;;14.9;;;;
83522;13/05/1980;0000;;26;;9.5;72.5;2.4;
83522;13/05/1980;1200;0;;14.8;;;;
83522;14/05/1980;0000;;26;;8.9;72;2.733333;
83522;14/05/1980;1200;0;;14.4;;;;
83522;15/05/1980;0000;;26.8;;8.1;71.75;2.4;
83522;15/05/1980;1200;0;;12;;;;
83522;16/05/1980;0000;;28.3;;9.1;75;1.733333;
83522;16/05/1980;1200;5.4;;16.8;;;;
83522;17/05/1980;0000;;27.2;;2.8;80.25;0.666667;
83522;17/05/1980;1200;0;;14.8;;;;
83522;18/05/1980;0000;;28.2;;6.7;76.5;1.033333;
83522;18/05/1980;1200;0;;15.4;;;;
83522;19/05/1980;0000;;29.6;;8.9;73.5;0.5;
83522;19/05/1980;1200;0;;13.4;;;;
83522;20/05/1980;0000;;29.6;;8.9;67.25;1.7;
83522;20/05/1980;1200;0;;14.4;;;;
83522;21/05/1980;0000;;29.3;;9.1;67;1.733333;
83522;21/05/1980;1200;0;;16.8;;;;
83522;22/05/1980;0000;;27.6;;3.3;81.75;0.833333;
83522;22/05/1980;1200;0;;17.8;;;;
83522;23/05/1980;0000;;27.5;;5.7;80.25;1.4;
83522;23/05/1980;1200;0;;16.3;;;;
83522;24/05/1980;0000;;27.4;;9.1;78;0.166667;
83522;24/05/1980;1200;0;;12.6;;;;
83522;25/05/1980;0000;;27.4;;9.5;74;0.866667;
83522;25/05/1980;1200;0;;12.1;;;;
83522;26/05/1980;0000;;27.2;;9.8;74.25;1.033333;
83522;26/05/1980;1200;0;;10.8;;;;
83522;27/05/1980;0000;;26;;9.4;76.75;2.9;
83522;27/05/1980;1200;0;;14;;;;
83522;28/05/1980;0000;;27.3;;8.1;67.5;1.4;
83522;28/05/1980;1200;0;;12;;;;
83522;29/05/1980;0000;;28.6;;7.3;55;2.266667;
83522;29/05/1980;1200;0;;18.8;;;;
83522;30/05/1980;0000;;27.3;;8.6;53;2.433333;
83522;30/05/1980;1200;0;;11.6;;;;
83522;31/05/1980;0000;;27.8;;8;67;1.4;
83522;31/05/1980;1200;0;;10.6;;;;
83522;01/06/1980;0000;;27.6;;7.5;71.5;1.9;
83522;01/06/1980;1200;0;;12.2;;;;
83522;02/06/1980;0000;;28;;7.4;67.25;1.4;
83522;02/06/1980;1200;0;;12.1;;;;
83522;03/06/1980;0000;;28.2;;8.2;70.75;1.4;
83522;03/06/1980;1200;0;;13.6;;;;
83522;04/06/1980;0000;;26.3;;9.9;66.75;1.4;
83522;04/06/1980;1200;0;;10.3;;;;
83522;05/06/1980;0000;;27.4;;10.1;72.25;1.9;
83522;05/06/1980;1200;0;;8.2;;;;
83522;06/06/1980;0000;;28;;10.3;60.5;2.1;
83522;06/06/1980;1200;0;;12.5;;;;
83522;07/06/1980;0000;;26.3;;9.3;63;2.033333;
83522;07/06/1980;1200;0;;10;;;;
83522;08/06/1980;0000;;26.3;;10.3;71.5;1.4;
83522;08/06/1980;1200;0;;11.8;;;;
83522;09/06/1980;0000;;27;;10.1;74.75;2.433333;
83522;09/06/1980;1200;0;;9.6;;;;
83522;10/06/1980;0000;;26.7;;10.1;63;2.233333;
83522;10/06/1980;1200;0;;12;;;;
83522;11/06/1980;0000;;27.9;;9.8;65.5;2.433333;
83522;11/06/1980;1200;0;;10;;;;
83522;12/06/1980;0000;;28.2;;8.9;67;0.833333;
83522;12/06/1980;1200;0;;14.6;;;;
83522;13/06/1980;0000;;28.7;;8.3;65.5;2.233333;
83522;13/06/1980;1200;0;;12.8;;;;
83522;14/06/1980;0000;;27.4;;5;75.25;1.733333;
83522;14/06/1980;1200;0;;17.3;;;;
83522;15/06/1980;0000;;26.9;;8;76.25;0.333333;
83522;15/06/1980;1200;0;;10.2;;;;
83522;16/06/1980;0000;;27.1;;8.2;69.25;2.233333;
83522;16/06/1980;1200;0;;13.7;;;;
83522;17/06/1980;0000;;25.8;;10;58.5;2.266667;
83522;17/06/1980;1200;0;;14.4;;;;
83522;18/06/1980;0000;;25.8;;9;63.25;1.2;
83522;18/06/1980;1200;0;;7.3;;;;
83522;19/06/1980;0000;;25.6;;8.3;69.5;0.333333;
83522;19/06/1980;1200;0;;7.6;;;;
83522;20/06/1980;0000;;27.2;;6.7;71.75;1;
83522;20/06/1980;1200;0;;9.8;;;;
83522;21/06/1980;0000;;26;;3.2;76.5;0.833333;
83522;21/06/1980;1200;0;;12.2;;;;
83522;22/06/1980;0000;;27.6;;7.3;72.25;1.4;
83522;22/06/1980;1200;0;;11.3;;;;
83522;23/06/1980;0000;;27.7;;6.7;75.5;0.666667;
83522;23/06/1980;1200;0;;10.4;;;;
83522;24/06/1980;0000;;30;;9.1;69.75;1;
83522;24/06/1980;1200;0;;10.8;;;;
83522;25/06/1980;0000;;30.6;;7;67.75;2.066667;
83522;25/06/1980;1200;0;;15.1;;;;
83522;26/06/1980;0000;;26.3;;0.6;87.75;1.566667;
83522;26/06/1980;1200;0;;17.2;;;;
83522;27/06/1980;0000;;25.4;;4.7;79.5;0.5;
83522;27/06/1980;1200;6.8;;16.5;;;;
83522;28/06/1980;0000;;26;;10.2;75;1.2;
83522;28/06/1980;1200;0;;10.1;;;;
83522;29/06/1980;0000;;25.4;;8.9;73.25;2.233333;
83522;29/06/1980;1200;0;;9.5;;;;
83522;30/06/1980;0000;;25.9;;7.4;75.25;1.033333;
83522;30/06/1980;1200;0;;12.8;;;;
83522;01/07/1980;0000;;26.8;;9.7;69.5;2.433333;
83522;01/07/1980;1200;0;;10.4;;;;
83522;02/07/1980;0000;;27.2;;9.7;64;1.366667;
83522;02/07/1980;1200;0;;9.9;;;;
83522;03/07/1980;0000;;27;;7.9;66.25;0.666667;
83522;03/07/1980;1200;0;;7.9;;;;
83522;04/07/1980;0000;;27;;6.8;68.5;0.333333;
83522;04/07/1980;1200;0;;10.1;;;;
83522;05/07/1980;0000;;27;;9.3;67.25;0.333333;
83522;05/07/1980;1200;0;;9.1;;;;
83522;06/07/1980;0000;;27.4;;9.4;64.5;1.4;
83522;06/07/1980;1200;0;;10.1;;;;
83522;07/07/1980;0000;;27.4;;9;67.25;1.4;
83522;07/07/1980;1200;0;;10.3;;;;
83522;08/07/1980;0000;;27.8;;9.5;61.25;1.4;
83522;08/07/1980;1200;0;;10.7;;;;
83522;09/07/1980;0000;;26.8;;6.2;65.25;1.4;
83522;09/07/1980;1200;0;;10.3;;;;
83522;10/07/1980;0000;;27.8;;7.7;62.75;1.566667;
83522;10/07/1980;1200;0;;8;;;;
83522;11/07/1980;0000;;27.6;;7.5;70;0.333333;
83522;11/07/1980;1200;0;;9.9;;;;
83522;12/07/1980;0000;;28;;9.6;63.75;1.033333;
83522;12/07/1980;1200;0;;9.7;;;;
83522;13/07/1980;0000;;28.8;;8.7;62;1.4;
83522;13/07/1980;1200;0;;10.1;;;;
83522;14/07/1980;0000;;30.1;;8.9;57.25;1.4;
83522;14/07/1980;1200;0;;10.1;;;;
83522;15/07/1980;0000;;30.2;;10.1;60.75;1.9;
83522;15/07/1980;1200;0;;11.5;;;;
83522;16/07/1980;0000;;29.9;;7.9;61.25;2.066667;
83522;16/07/1980;1200;0;;11.7;;;;
83522;17/07/1980;0000;;29.2;;9.3;66;1.2;
83522;17/07/1980;1200;0;;14.4;;;;
83522;18/07/1980;0000;;29.8;;8.1;67.5;0.866667;
83522;18/07/1980;1200;0;;11.8;;;;
83522;19/07/1980;0000;;28.7;;9.4;64;1.033333;
83522;19/07/1980;1200;0;;10.7;;;;
83522;20/07/1980;0000;;29.8;;9.8;81.75;0.866667;
83522;20/07/1980;1200;0;;10.9;;;;
83522;21/07/1980;0000;;30.2;;8.9;65.5;1.4;
83522;21/07/1980;1200;0;;11.1;;;;
83522;22/07/1980;0000;;31;;8.7;55.25;1.4;
83522;22/07/1980;1200;0;;12.4;;;;
83522;23/07/1980;0000;;30.3;;7.2;67.75;0.7;
83522;23/07/1980;1200;0;;12;;;;
83522;24/07/1980;0000;;29.6;;8.7;66;1.733333;
83522;24/07/1980;1200;0;;16.4;;;;
83522;25/07/1980;0000;;28;;9.9;53.75;2.766667;
83522;25/07/1980;1200;0;;13.2;;;;
83522;26/07/1980;0000;;28.8;;9;50.5;2.433333;
83522;26/07/1980;1200;0;;14.5;;;;
83522;27/07/1980;0000;;30.2;;8.2;58;1.033333;
83522;27/07/1980;1200;0;;11.3;;;;
83522;28/07/1980;0000;;28.3;;9.7;55.75;1.9;
83522;28/07/1980;1200;0;;11.8;;;;
83522;29/07/1980;0000;;29.6;;9.9;58;1.9;
83522;29/07/1980;1200;0;;10.2;;;;
83522;30/07/1980;0000;;30.2;;7.1;54.5;1.533333;
83522;30/07/1980;1200;0;;10.8;;;;
83522;31/07/1980;0000;;25.7;;6.3;73.75;1.033333;
83522;31/07/1980;1200;0;;12.6;;;;
83522;01/08/1980;0000;;28.6;;7.9;68.25;1.9;
83522;01/08/1980;1200;0;;11;;;;
83522;02/08/1980;0000;;29.6;;9.9;59.25;1.533333;
83522;02/08/1980;1200;0;;15.4;;;;
83522;03/08/1980;0000;;27;;6.5;73.75;1.033333;
83522;03/08/1980;1200;0;;14;;;;
83522;04/08/1980;0000;;27;;8.9;52.25;3.6;
83522;04/08/1980;1200;0;;13.2;;;;
83522;05/08/1980;0000;;27.9;;7.4;51.25;2.6;
83522;05/08/1980;1200;0;;17;;;;
83522;06/08/1980;0000;;30.2;;9.6;54.25;1.4;
83522;06/08/1980;1200;0;;13.8;;;;
83522;07/08/1980;0000;;31;;9.7;54.5;1.4;
83522;07/08/1980;1200;0;;15.3;;;;
83522;08/08/1980;0000;;30.3;;8.5;45.75;2.066667;
83522;08/08/1980;1200;0;;12.8;;;;
83522;09/08/1980;0000;;29.2;;10;55;1.7;
83522;09/08/1980;1200;0;;12;;;;
83522;10/08/1980;0000;;29.3;;9.5;48.5;2.233333;
83522;10/08/1980;1200;0;;10.4;;;;
83522;11/08/1980;0000;;30.4;;9.9;53.75;1.8;
83522;11/08/1980;1200;0;;10.8;;;;
83522;12/08/1980;0000;;29.4;;3.9;52;1.7;
83522;12/08/1980;1200;0;;11.7;;;;
83522;13/08/1980;0000;;28.7;;7.4;62.75;3.1;
83522;13/08/1980;1200;0.6;;16.5;;;;
83522;14/08/1980;0000;;30;;9.5;55.5;1.9;
83522;14/08/1980;1200;0.5;;13.8;;;;
83522;15/08/1980;0000;;30;;7.6;58.25;1.2;
83522;15/08/1980;1200;0;;14.9;;;;
83522;16/08/1980;0000;;31.5;;7.5;73.75;1.733333;
83522;16/08/1980;1200;0;;13;;;;
83522;17/08/1980;0000;;33;;8.2;62.75;2.266667;
83522;17/08/1980;1200;0;;14.2;;;;
83522;18/08/1980;0000;;33.8;;4.8;57.5;1.366667;
83522;18/08/1980;1200;0;;13.6;;;;
83522;19/08/1980;0000;;33.7;;7.3;52.25;1.4;
83522;19/08/1980;1200;0;;15.1;;;;
83522;20/08/1980;0000;;33.4;;9.9;51.25;2.4;
83522;20/08/1980;1200;0;;16.3;;;;
83522;21/08/1980;0000;;33.6;;10.3;38.75;2.766667;
83522;21/08/1980;1200;0;;13.4;;;;
83522;22/08/1980;0000;;33.4;;9.7;49.75;1.733333;
83522;22/08/1980;1200;0;;15.2;;;;
83522;23/08/1980;0000;;33;;6.3;48.75;1.4;
83522;23/08/1980;1200;0;;16.8;;;;
83522;24/08/1980;0000;;33.6;;4.8;55.25;1.4;
83522;24/08/1980;1200;0;;18.6;;;;
83522;25/08/1980;0000;;34.9;;9.4;55.5;1.4;
83522;25/08/1980;1200;0;;15.6;;;;
83522;26/08/1980;0000;;35.4;;8.4;50.25;2.1;
83522;26/08/1980;1200;0;;14.8;;;;
83522;27/08/1980;0000;;32.8;;6.9;63;2.1;
83522;27/08/1980;1200;0;;18.2;;;;
83522;28/08/1980;0000;;33.9;;9.2;57.25;2.233333;
83522;28/08/1980;1200;0;;17;;;;
83522;29/08/1980;0000;;28.6;;8.9;53;1.733333;
83522;29/08/1980;1200;0;;16.3;;;;
83522;30/08/1980;0000;;30;;10.1;51;2.433333;
83522;30/08/1980;1200;0;;16.5;;;;
83522;31/08/1980;0000;;31.6;;10;51.75;1.4;
83522;31/08/1980;1200;0;;12;;;;
83522;01/09/1980;0000;;31;;10.2;44.5;1.4;
83522;01/09/1980;1200;0;;11.1;;;;
83522;02/09/1980;0000;;32.8;;10.6;47.25;0.7;
83522;02/09/1980;1200;0;;11.2;;;;
83522;03/09/1980;0000;;33.6;;5.8;45;1.2;
83522;03/09/1980;1200;0;;11.7;;;;
83522;04/09/1980;0000;;32.6;;0;67.5;0.866667;
83522;04/09/1980;1200;0;;14.3;;;;
83522;05/09/1980;0000;;31.6;;2.3;60.75;0.7;
83522;05/09/1980;1200;0;;13.4;;;;
83522;06/09/1980;0000;;31;;0;60.5;1.366667;
83522;06/09/1980;1200;0;;13.6;;;;
